Name,Category,Subcategory,Subcategory Group,Product ID,Product URL,Price,Rating
Men's Liverpool Football Pyjamas,Specialbuys,Clothing,Be Inspired,809915561216702,https://www.aldi.co.uk/men%27s-liverpool-football-pyjamas/p/809915561216702,£6.99 each,4.6 out of 5 stars. 101 reviews
Ladies' Black Snug Boots,Specialbuys,Clothing,Be Inspired,809644573843800,https://www.aldi.co.uk/ladies%27-black-snug-boots/p/809644573843800,£7.99 per pair,4.5 out of 5 stars. 105 reviews
Men's Black Trekking Boots,Specialbuys,Clothing,Be Inspired,811271605051900,https://www.aldi.co.uk/men%27s-black-trekking-boots/p/811271605051900,£19.99 per pair,3.0 out of 5 stars. 2 reviews
Ladies' Red Cosy Pyjamas,Specialbuys,Clothing,Be Inspired,808609532749300,https://www.aldi.co.uk/ladies%27-red-cosy-pyjamas/p/808609532749300,£3.99 each,4.0 out of 5 stars. 62 reviews
Ladies' Grey Trekking Boots,Specialbuys,Clothing,Be Inspired,811270574512400,https://www.aldi.co.uk/ladies%27-grey-trekking-boots/p/811270574512400,£19.99 per pair,4.2 out of 5 stars. 25 reviews
Men's Manchester United Pyjamas,Specialbuys,Clothing,Be Inspired,809915562010200,https://www.aldi.co.uk/men%27s-manchester-united-pyjamas/p/809915562010200,£6.99 each,4.6 out of 5 stars. 101 reviews
Avenue Rose Floral Maxi Dress,Specialbuys,Clothing,Be Inspired,804241482312901,https://www.aldi.co.uk/avenue-rose-floral-maxi-dress/p/804241482312901,£7.99 each,4.4 out of 5 stars. 8 reviews
Children's Liverpool Pyjamas,Specialbuys,Clothing,Be Inspired,809952538508800,https://www.aldi.co.uk/children%27s-liverpool-pyjamas/p/809952538508800,£3.99 each,4.7 out of 5 stars. 52 reviews
Crane Men's Black Trousers,Specialbuys,Clothing,Be Inspired,802003513554401,https://www.aldi.co.uk/crane-men%27s-black-trousers/p/802003513554401,£17.99 each,4.6 out of 5 stars. 108 reviews
Children's Manchester United Pyjamas,Specialbuys,Clothing,Be Inspired,809952537573303,https://www.aldi.co.uk/children%27s-manchester-united-pyjamas/p/809952537573303,£3.99 each,4.7 out of 5 stars. 52 reviews
Avenue Ladies' Blue Jeggings,Specialbuys,Clothing,Be Inspired,812408603260401,https://www.aldi.co.uk/avenue-ladies%27-blue-jeggings/p/812408603260401,£7.99 each,2.1 out of 5 stars. 18 reviews
Mens' Black Sheepskin Slippers,Specialbuys,Clothing,Be Inspired,810341548544200,https://www.aldi.co.uk/mens%27-black-sheepskin-slippers/p/810341548544200,£9.99 per pair,4.1 out of 5 stars. 36 reviews
Ladies' Black Friends Pyjamas,Specialbuys,Clothing,Be Inspired,806833532749700,https://www.aldi.co.uk/ladies%27-black-friends-pyjamas/p/806833532749700,£6.99 each,4.7 out of 5 stars. 37 reviews
Avenue Grey Floral Maxi Dress,Specialbuys,Clothing,Be Inspired,804241482313303,https://www.aldi.co.uk/avenue-grey-floral-maxi-dress/p/804241482313303,£7.99 each,4.4 out of 5 stars. 8 reviews
Ladies' Grey Friends Pyjamas,Specialbuys,Clothing,Be Inspired,806833537550901,https://www.aldi.co.uk/ladies%27-grey-friends-pyjamas/p/806833537550901,£6.99 each,4.7 out of 5 stars. 37 reviews
